AlgoTime(ms), Result Matrix, Chapter
20810.199999999997, 475616, 1
26082.5, 618342, 2
13105.0, 304679, 3
11629.2, 263682, 4
9670.43, 224420, 5
9327.03, 214760, 6
4796.01, 114235, 7
18605.3, 415380, 8
37646.5, 922180, 9
350.77599999999995, 8277, 10
