AlgoTime(ms), Result Matrix, Chapter, Zero Entries
1102.2, 478380, 1, 475648
1404.1200000000001, 621492, 2, 618410
731.776, 306891, 3, 305606
654.159, 265740, 4, 264795
534.494, 226320, 5, 224912
519.389, 216618, 6, 214865
292.388, 115591, 7, 114945
1009.63, 417962, 8, 415630
2173.24, 926026, 9, 921740
33.488200000000006, 8645, 10, 8335
