AlgoTime(ms), Result Matrix, Chapter
7128.639999999999, 472860, 1
8813.119999999999, 615200, 2
4451.469999999999, 302475, 3
3951.07, 261632, 4
3294.37, 222528, 5
3171.49, 212910, 6
1692.28, 112887, 7
6180.41, 412806, 8
12962.7, 918342, 9
176.123, 7917, 10
