AlgoTime(ms), Result Matrix, Chapter, Zero Entries
1727.6000000000001, 478380, 1, 229709
2124.93, 621492, 2, 244704
1140.07, 306891, 3, 189979
1002.48, 265740, 4, 177607
905.5450000000001, 226320, 5, 155012
841.502, 216618, 6, 147925
517.5509999999999, 115591, 7, 100733
1434.49, 417962, 8, 216680
2908.96, 926026, 9, 292653
117.897, 8645, 10, 8290
