AlgoTime(ms), Result Matrix, Chapter, Zero Entries
2252.3399999999997, 475616, 1, 474448
2817.65, 618342, 2, 617278
1431.75, 304679, 3, 303608
1252.37, 263682, 4, 263139
1062.4199999999998, 224420, 5, 223536
1039.7, 214760, 6, 213599
532.7669999999999, 114235, 7, 113761
1978.61, 415380, 8, 414079
4189.45, 922180, 9, 919430
57.6594, 8277, 10, 8108
