AlgoTime(ms), Result Matrix, Chapter
2508.2, 478380, 1
3107.6800000000003, 621492, 2
1612.3700000000001, 306891, 3
1419.29, 265740, 4
1135.05, 226320, 5
1107.49, 216618, 6
612.382, 115591, 7
2186.3199999999997, 417962, 8
4624.71, 926026, 9
72.6327, 8645, 10
