AlgoTime(ms), Result Matrix, Chapter, Zero Entries
7608.6, 475616, 1, 474448
9777.480000000001, 618342, 2, 617278
4866.87, 304679, 3, 303608
4301.9800000000005, 263682, 4, 263139
3594.25, 224420, 5, 223536
3465.19, 214760, 6, 213599
1869.9099999999999, 114235, 7, 113761
6740.26, 415380, 8, 414079
14389.6, 922180, 9, 919430
165.13400000000001, 8277, 10, 8108
