AlgoTime(ms), Result Matrix, Chapter
10820.6, 478380, 1
13728.7, 621492, 2
6757.71, 306891, 3
5978.4, 265740, 4
5036.16, 226320, 5
4787.54, 216618, 6
2581.96, 115591, 7
9574.289999999999, 417962, 8
20127.8, 926026, 9
217.54899999999998, 8645, 10
