AlgoTime(ms), Result Matrix, Chapter, Zero Entries
1102.12, 478380, 1, 475648
1394.86, 621492, 2, 618410
700.4449999999999, 306891, 3, 305606
619.1529999999999, 265740, 4, 264795
511.44199999999995, 226320, 5, 224912
488.648, 216618, 6, 214865
257.935, 115591, 7, 114945
967.1800000000001, 417962, 8, 415630
2061.17, 926026, 9, 921740
20.887800000000002, 8645, 10, 8335
