AlgoTime(ms), Result Matrix, Chapter
4286.5599999999995, 475616, 1
5368.8099999999995, 618342, 2
2713.5600000000004, 304679, 3
2424.76, 263682, 4
2016.2499999999998, 224420, 5
1886.4399999999998, 214760, 6
1041.19, 114235, 7
3712.13, 415380, 8
7808.78, 922180, 9
94.17590000000001, 8277, 10
