AlgoTime(ms), Result Matrix, Chapter
4304.55, 475616, 1
5343.19, 618342, 2
2695.7, 304679, 3
2380.87, 263682, 4
2036.3400000000001, 224420, 5
1911.81, 214760, 6
1036.92, 114235, 7
3719.32, 415380, 8
7865.370000000001, 922180, 9
93.8933, 8277, 10
